order_id,customer_id,product_id,order_date,quantity,unit_price,amount,status,region
O000108,C00018,P0012,2026-05-29,6,339.88,2039.28,pending,North
O000109,C00210,P0029,2026-05-27,3,353.41,1060.23,completed,Central
O000110,C00255,P0047,2026-01-23,1,93.06,93.06,completed,Central
O000111,C00292,P0002,2026-05-13,5,358.45,1792.25,returned,Central
O000112,C00209,P0032,2026-06-21,1,206.95,206.95,completed,West
O000113,C00261,P0012,2026-02-02,2,339.88,679.76,returned,Central
O000114,C00253,P0001,2026-01-05,1,131.2,131.2,cancelled,North
O000115,C00075,P0028,2026-06-08,5,8.66,43.3,completed,South
O000116,C00096,P0020,2026-05-08,5,385.28,1926.4,completed,East
O000117,C00195,P0004,2026-02-09,3,179.23,537.69,returned,Central
O000118,C00112,P0018,2026-01-17,4,209.6,838.4,returned,South
O000119,C00140,P0029,2026-04-19,4,353.41,1413.64,completed,West
O000120,C00085,P0014,2026-06-10,2,356.93,713.86,completed,North
O000121,C00243,P0028,2026-04-23,4,8.66,34.64,pending,South
O000122,C00044,P0011,2026-03-15,1,185.69,185.69,cancelled,West
O000123,C00111,P0024,2026-03-16,3,190.42,571.26,shipped,East
O000124,C00202,P0042,2026-04-23,2,318.54,637.08,cancelled,East
O000125,C00089,P0023,2026-01-17,5,252.53,1262.65,pending,North
O000126,C00019,P0037,2026-02-23,2,337.76,675.52,completed,North
O000127,C00066,P0005,2026-04-21,6,36.89,221.34,shipped,Central
O000128,C00214,P0033,2026-06-01,2,225.35,450.7,completed,Central
O000129,C00046,P0030,2026-02-26,5,371.15,1855.75,completed,East
O000130,C00061,P0050,2026-02-14,5,314.46,1572.3,completed,West
O000131,C00251,P0048,2026-01-24,3,351.02,1053.06,cancelled,Central
O000132,C00066,P0002,2026-06-13,6,358.45,2150.7,returned,Central
O000133,C00192,P0040,2026-02-08,5,182.51,912.55,completed,East
O000134,C00252,P0004,2026-03-17,2,179.23,358.46,completed,Central
O000135,C00165,P0025,2026-05-07,5,163.82,819.1,pending,Central
O000136,C00241,P0013,2026-01-25,4,187.12,748.48,cancelled,West
O000137,C00112,P0026,2026-03-17,3,320.92,962.76,completed,South
O000138,C00018,P0028,2026-04-20,6,8.66,51.96,completed,North
O000139,C00002,P0021,2026-01-19,1,250.81,250.81,completed,West
O000140,C00147,P0024,2026-04-16,1,190.42,190.42,returned,Central
O000141,C00221,P0037,2026-04-03,6,337.76,2026.56,pending,East
O000142,C00169,P0019,2026-01-12,1,93.69,93.69,shipped,West
O000143,C00138,P0041,2026-05-14,3,5.08,15.24,completed,East
O000144,C00279,P0019,2026-01-30,1,93.69,93.69,completed,South
O000145,C00122,P0014,2026-01-17,3,356.93,1070.79,shipped,East
O000146,C00133,P0003,2026-06-24,1,221.39,221.39,pending,West
O000147,C00102,P0046,2026-04-29,5,289.59,1447.95,cancelled,Central
O000148,C00170,P0005,2026-06-14,6,36.89,221.34,pending,West
O000149,C00034,P0027,2026-01-04,1,176.06,176.06,completed,East
O000150,C00295,P0008,2026-03-28,6,142.32,853.92,completed,North
O000151,C00159,P0017,2026-04-07,1,227.78,227.78,completed,Central
O000152,C00182,P0007,2026-05-05,3,129.12,387.36,cancelled,Central
O000153,C00127,P0043,2026-06-08,6,250.32,1501.92,cancelled,Central
O000154,C00036,P0009,2026-01-13,6,399.86,2399.16,completed,South
O000155,C00149,P0023,2026-05-27,6,252.53,1515.18,completed,North
O000156,C00085,P0041,2026-06-16,1,5.08,5.08,pending,North
O000157,C00259,P0042,2026-06-09,6,318.54,1911.24,completed,East
O000158,C00300,P0019,2026-06-04,3,93.69,281.07,completed,South
O000159,C00154,P0005,2026-02-15,2,36.89,73.78,shipped,East
O000160,C00118,P0041,2026-02-25,6,5.08,30.48,shipped,East
O000161,C00290,P0042,2026-04-24,5,318.54,1592.7,completed,West
O000162,C00214,P0007,2026-05-15,3,129.12,387.36,completed,Central
O000163,C00138,P0010,2026-04-29,3,139.46,418.38,completed,East
O000164,C00261,P0047,2026-01-03,3,93.06,279.18,pending,Central
O000165,C00257,P0018,2026-01-12,6,209.6,1257.6,shipped,South
O000166,C00188,P0024,2026-05-14,3,190.42,571.26,shipped,West
O000167,C00071,P0048,2026-03-25,2,351.02,702.04,pending,North
O000168,C00166,P0018,2026-04-22,1,209.6,209.6,pending,North
O000169,C00110,P0027,2026-03-08,1,176.06,176.06,cancelled,East
O000170,C00205,P0023,2026-01-21,2,252.53,505.06,completed,North
O000171,C00186,P0032,2026-01-06,4,206.95,827.8,pending,South
O000172,C00147,P0045,2026-02-10,4,7.03,28.12,cancelled,Central
O000173,C00277,P0025,2026-06-18,1,163.82,163.82,cancelled,Central
O000174,C00108,P0020,2026-03-05,1,385.28,385.28,shipped,Central
O000175,C00042,P0040,2026-03-11,2,182.51,365.02,cancelled,Central
O000176,C00252,P0002,2026-03-12,4,358.45,1433.8,shipped,Central
O000177,C00198,P0029,2026-02-19,6,353.41,2120.46,returned,West
O000178,C00266,P0036,2026-06-14,4,369.18,1476.72,cancelled,Central
O000179,C00038,P0037,2026-05-18,1,337.76,337.76,completed,South
O000180,C00140,P0048,2026-01-20,5,351.02,1755.1,shipped,West
O000181,C00119,P0005,2026-06-16,6,36.89,221.34,completed,West
O000182,C00219,P0003,2026-06-07,6,221.39,1328.34,completed,West
O000183,C00117,P0028,2026-01-27,3,8.66,25.98,completed,South
O000184,C00185,P0038,2026-03-12,6,261.18,1567.08,shipped,East
O000185,C00057,P0049,2026-05-11,1,170.02,170.02,cancelled,Central
O000186,C00180,P0029,2026-04-08,4,353.41,1413.64,pending,East
O000187,C00254,P0008,2026-02-07,6,142.32,853.92,completed,West
O000188,C00199,P0045,2026-04-13,3,7.03,21.09,completed,West
O000189,C00076,P0011,2026-01-04,2,185.69,371.38,pending,West
O000190,C00281,P0018,2026-03-28,2,209.6,419.2,cancelled,West
O000191,C00284,P0022,2026-01-06,2,195.43,390.86,cancelled,West
O000192,C00239,P0024,2026-06-07,6,190.42,1142.52,shipped,North
O000193,C00033,P0035,2026-05-05,4,277.29,1109.16,pending,East
O000194,C00253,P0033,2026-05-11,3,225.35,676.05,pending,North
O000195,C00207,P0037,2026-06-20,1,337.76,337.76,shipped,West
O000196,C00235,P0039,2026-05-19,6,43.18,259.08,completed,East
O000197,C00252,P0021,2026-03-28,4,250.81,1003.24,shipped,Central
O000198,C00191,P0001,2026-04-03,3,131.2,393.6,cancelled,North
O000199,C00098,P0034,2026-06-20,6,130.08,780.48,cancelled,East
O000200,C00211,P0046,2026-05-06,1,289.59,289.59,pending,East
O000201,C00253,P0035,2026-05-09,3,277.29,831.87,completed,North
O000202,C00201,P0005,2026-02-17,3,36.89,110.67,returned,West
O000203,C00266,P0020,2026-04-27,1,385.28,385.28,shipped,Central
O000204,C00134,P0029,2026-05-14,2,353.41,706.82,shipped,Central
O000205,C00143,P0041,2026-01-11,2,5.08,10.16,completed,Central
O000206,C00037,P0001,2026-05-26,1,131.2,131.2,shipped,South
O000207,C00071,P0011,2026-06-07,1,185.69,185.69,completed,North
O000208,C00168,P0050,2026-04-27,3,314.46,943.38,completed,Central
O000209,C00272,P0021,2026-01-11,4,250.81,1003.24,returned,West
O000210,C00240,P0032,2026-05-10,3,206.95,620.85,cancelled,Central
O000211,C00181,P0020,2026-05-02,5,385.28,1926.4,completed,North
O000212,C00057,P0002,2026-04-09,5,358.45,1792.25,pending,Central
O000213,C00110,P0012,2026-05-16,2,339.88,679.76,completed,East
O000214,C00046,P0029,2026-05-04,3,353.41,1060.23,completed,East
O000215,C00064,P0050,2026-03-12,2,314.46,628.92,completed,South
O000216,C00061,P0008,2026-03-25,5,142.32,711.6,completed,West
O000217,C00264,P0032,2026-04-26,2,206.95,413.9,shipped,East
O000218,C00247,P0026,2026-06-28,3,320.92,962.76,shipped,North
O000219,C00158,P0005,2026-04-30,2,36.89,73.78,completed,South
O000220,C00047,P0015,2026-02-12,3,173.05,519.15,completed,South
O000221,C00282,P0009,2026-05-05,4,399.86,1599.44,completed,West
O000222,C00089,P0015,2026-04-25,3,173.05,519.15,completed,North
O000223,C00152,P0001,2026-02-27,1,131.2,131.2,pending,South
O000224,C00213,P0050,2026-03-13,2,314.46,628.92,pending,North
O000225,C00159,P0011,2026-02-22,1,185.69,185.69,completed,Central
O000226,C00101,P0014,2026-03-28,5,356.93,1784.65,completed,East
O000227,C00106,P0033,2026-05-11,1,225.35,225.35,cancelled,East
O000228,C00171,P0019,2026-05-02,3,93.69,281.07,returned,South
O000229,C00150,P0049,2026-01-19,3,170.02,510.06,pending,West
O000230,C00203,P0025,2026-02-13,6,163.82,982.92,shipped,North
O000231,C00070,P0005,2026-04-04,6,36.89,221.34,completed,South
O000232,C00153,P0002,2026-06-12,2,358.45,716.9,shipped,East
O000233,C00036,P0024,2026-01-21,6,190.42,1142.52,cancelled,South
O000234,C00199,P0046,2026-02-16,4,289.59,1158.36,returned,West
O000235,C00174,P0040,2026-05-19,2,182.51,365.02,completed,South
O000236,C00031,P0048,2026-02-15,4,351.02,1404.08,returned,Central
O000237,C00025,P0005,2026-04-03,2,36.89,73.78,pending,East
O000238,C00204,P0050,2026-04-01,6,314.46,1886.76,pending,South
O000239,C00220,P0020,2026-01-06,3,385.28,1155.84,completed,North
O000240,C00262,P0006,2026-02-26,1,182.61,182.61,completed,South
O000241,C00019,P0041,2026-04-26,1,5.08,5.08,completed,North
O000242,C00168,P0025,2026-04-04,3,163.82,491.46,shipped,Central
O000243,C00092,P0050,2026-06-29,2,314.46,628.92,completed,North
O000244,C00268,P0018,2026-05-18,5,209.6,1048.0,completed,East
O000245,C00088,P0004,2026-02-08,4,179.23,716.92,cancelled,West
O000246,C00132,P0022,2026-06-06,1,195.43,195.43,pending,West
O000247,C00268,P0038,2026-02-13,2,261.18,522.36,completed,East
O000248,C00137,P0033,2026-02-23,1,225.35,225.35,returned,East
O000249,C00002,P0022,2026-06-27,4,195.43,781.72,completed,West
O000250,C00066,P0040,2026-02-06,4,182.51,730.04,completed,Central
O000251,C00120,P0021,2026-03-26,3,250.81,752.43,pending,South
O000252,C00135,P0016,2026-03-14,4,367.12,1468.48,completed,Central
O000253,C00180,P0020,2026-01-21,5,385.28,1926.4,pending,East
O000254,C00185,P0021,2026-06-08,6,250.81,1504.86,completed,East
O000255,C00085,P0048,2026-06-02,5,351.02,1755.1,completed,North
O000256,C00024,P0030,2026-02-19,6,371.15,2226.9,shipped,South
O000257,C00098,P0006,2026-06-26,5,182.61,913.05,shipped,East
O000258,C00006,P0014,2026-06-17,2,356.93,713.86,shipped,South
O000259,C00074,P0024,2026-04-16,5,190.42,952.1,completed,West
O000260,C00253,P0021,2026-05-14,4,250.81,1003.24,completed,North
O000261,C00059,P0021,2026-06-24,6,250.81,1504.86,pending,East
O000262,C00243,P0014,2026-04-14,1,356.93,356.93,completed,South
O000263,C00123,P0022,2026-05-29,5,195.43,977.15,returned,North
O000264,C00095,P0046,2026-03-29,4,289.59,1158.36,completed,Central
O000265,C00122,P0045,2026-04-27,1,7.03,7.03,cancelled,East
O000266,C00242,P0048,2026-02-19,1,351.02,351.02,pending,North
O000267,C00292,P0001,2026-01-13,5,131.2,656.0,shipped,Central
O000268,C00229,P0011,2026-04-30,2,185.69,371.38,completed,East
O000269,C00141,P0027,2026-03-13,3,176.06,528.18,completed,Central
O000270,C00151,P0032,2026-02-27,4,206.95,827.8,cancelled,West
O000271,C00006,P0036,2026-03-10,2,369.18,738.36,completed,South
O000272,C00149,P0003,2026-06-27,6,221.39,1328.34,completed,North
O000273,C00081,P0032,2026-04-14,1,206.95,206.95,completed,Central
O000274,C00070,P0044,2026-02-13,3,304.28,912.84,completed,South
O000275,C00077,P0021,2026-01-20,4,250.81,1003.24,cancelled,West
O000276,C00248,P0022,2026-04-13,4,195.43,781.72,cancelled,West
O000277,C00079,P0023,2026-04-15,1,252.53,252.53,completed,East
O000278,C00045,P0036,2026-05-15,5,369.18,1845.9,cancelled,South
O000279,C00277,P0023,2026-05-28,2,252.53,505.06,pending,Central
O000280,C00081,P0015,2026-05-31,5,173.05,865.25,cancelled,Central
O000281,C00229,P0002,2026-05-02,1,358.45,358.45,pending,East
O000282,C00115,P0007,2026-01-23,4,129.12,516.48,completed,Central
O000283,C00015,P0032,2026-04-10,1,206.95,206.95,completed,East
O000284,C00194,P0026,2026-05-04,4,320.92,1283.68,completed,Central
O000285,C00230,P0018,2026-06-02,4,209.6,838.4,pending,South
O000286,C00256,P0016,2026-04-21,5,367.12,1835.6,pending,South
O000287,C00061,P0043,2026-04-30,6,250.32,1501.92,shipped,West
O000288,C00222,P0046,2026-06-30,1,289.59,289.59,completed,East
O000289,C00065,P0019,2026-02-18,4,93.69,374.76,completed,East
O000290,C00296,P0046,2026-04-18,6,289.59,1737.54,shipped,North
O000291,C00093,P0003,2026-04-22,6,221.39,1328.34,pending,South
O000292,C00225,P0016,2026-03-27,3,367.12,1101.36,cancelled,West
O000293,C00143,P0030,2026-01-26,3,371.15,1113.45,completed,Central
O000294,C00244,P0032,2026-06-20,2,206.95,413.9,completed,Central
O000295,C00097,P0041,2026-04-28,3,5.08,15.24,returned,South
O000296,C00120,P0043,2026-04-19,6,250.32,1501.92,shipped,South
O000297,C00097,P0044,2026-01-04,3,304.28,912.84,completed,South
O000298,C00049,P0026,2026-05-24,1,320.92,320.92,completed,South
O000299,C00121,P0033,2026-02-24,1,225.35,225.35,shipped,North
O000300,C00095,P0035,2026-01-14,3,277.29,831.87,completed,Central
O000301,C00159,P0001,2026-05-28,1,131.2,131.2,completed,Central
O000302,C00093,P0014,2026-01-27,4,356.93,1427.72,cancelled,South
O000303,C00247,P0033,2026-01-06,4,225.35,901.4,pending,North
O000304,C00148,P0046,2026-03-09,6,289.59,1737.54,cancelled,South
O000305,C00044,P0013,2026-04-27,2,187.12,374.24,shipped,West
O000306,C00246,P0049,2026-03-31,1,170.02,170.02,returned,West
O000307,C00255,P0012,2026-06-25,2,339.88,679.76,completed,Central
O000308,C00166,P0023,2026-06-23,4,252.53,1010.12,completed,North
O000309,C00226,P0008,2026-03-21,4,142.32,569.28,completed,East
O000310,C00213,P0047,2026-01-11,1,93.06,93.06,completed,North
O000311,C00031,P0009,2026-06-18,2,399.86,799.72,shipped,Central
O000312,C00096,P0025,2026-04-24,5,163.82,819.1,shipped,East
O000313,C00215,P0014,2026-04-25,6,356.93,2141.58,shipped,North
O000314,C00219,P0026,2026-06-06,4,320.92,1283.68,completed,West
O000315,C00248,P0025,2026-02-20,1,163.82,163.82,shipped,West
O000316,C00280,P0018,2026-05-26,1,209.6,209.6,pending,East
O000317,C00143,P0033,2026-01-08,5,225.35,1126.75,returned,Central
O000318,C00108,P0039,2026-05-01,5,43.18,215.9,cancelled,Central
O000319,C00149,P0030,2026-06-06,4,371.15,1484.6,completed,North
O000320,C00156,P0009,2026-04-02,6,399.86,2399.16,cancelled,Central
O000321,C00006,P0040,2026-01-12,3,182.51,547.53,shipped,South
O000322,C00283,P0008,2026-03-21,6,142.32,853.92,returned,East
O000323,C00281,P0048,2026-01-08,4,351.02,1404.08,returned,West
O000324,C00083,P0036,2026-04-16,5,369.18,1845.9,completed,East
O000325,C00019,P0023,2026-03-19,2,252.53,505.06,pending,North
O000326,C00254,P0050,2026-03-06,3,314.46,943.38,completed,West
O000327,C00180,P0010,2026-02-12,1,139.46,139.46,pending,East
O000328,C00024,P0028,2026-05-03,4,8.66,34.64,completed,South
O000329,C00217,P0035,2026-03-22,2,277.29,554.58,completed,South
O000330,C00024,P0008,2026-03-16,4,142.32,569.28,completed,South
O000331,C00231,P0034,2026-04-15,1,130.08,130.08,cancelled,North
O000332,C00247,P0016,2026-03-28,1,367.12,367.12,completed,North
O000333,C00295,P0049,2026-05-05,6,170.02,1020.12,returned,North
O000334,C00055,P0038,2026-04-12,2,261.18,522.36,cancelled,South
O000335,C00200,P0009,2026-06-29,2,399.86,799.72,completed,North
O000336,C00094,P0037,2026-01-30,6,337.76,2026.56,shipped,North
O000337,C00014,P0042,2026-04-26,5,318.54,1592.7,pending,South
O000338,C00254,P0047,2026-03-18,3,93.06,279.18,cancelled,West
O000339,C00294,P0017,2026-06-22,2,227.78,455.56,pending,South
O000340,C00135,P0043,2026-06-27,3,250.32,750.96,completed,Central
O000341,C00085,P0009,2026-06-15,3,399.86,1199.58,completed,North
O000342,C00132,P0041,2026-03-01,3,5.08,15.24,completed,West
O000343,C00225,P0037,2026-04-19,1,337.76,337.76,completed,West
O000344,C00147,P0013,2026-02-23,5,187.12,935.6,completed,Central
O000345,C00080,P0029,2026-01-22,4,353.41,1413.64,pending,South
O000346,C00174,P0013,2026-04-09,5,187.12,935.6,completed,South
O000347,C00223,P0049,2026-02-15,1,170.02,170.02,completed,Central
O000348,C00260,P0017,2026-01-29,1,227.78,227.78,completed,East
O000349,C00096,P0021,2026-03-14,4,250.81,1003.24,pending,East
O000350,C00188,P0029,2026-02-21,1,353.41,353.41,completed,West
O000351,C00023,P0023,2026-02-16,6,252.53,1515.18,pending,North
O000352,C00233,P0032,2026-04-06,4,206.95,827.8,completed,North
O000353,C00273,P0033,2026-05-04,5,225.35,1126.75,completed,Central
O000354,C00038,P0003,2026-01-04,5,221.39,1106.95,completed,South
O000355,C00069,P0003,2026-02-21,2,221.39,442.78,completed,East
O000356,C00106,P0040,2026-01-16,4,182.51,730.04,completed,East
O000357,C00256,P0018,2026-05-08,1,209.6,209.6,completed,South
O000358,C00255,P0016,2026-04-20,2,367.12,734.24,returned,Central
O000359,C00251,P0035,2026-06-15,2,277.29,554.58,completed,Central
O000360,C00137,P0045,2026-03-31,2,7.03,14.06,completed,East
O000361,C00206,P0005,2026-01-30,5,36.89,184.45,pending,Central
O000362,C00135,P0007,2026-03-21,2,129.12,258.24,completed,Central
O000363,C00204,P0029,2026-01-05,1,353.41,353.41,completed,South
O000364,C00043,P0011,2026-02-16,6,185.69,1114.14,completed,South
O000365,C00195,P0045,2026-04-09,4,7.03,28.12,completed,Central
O000366,C00006,P0010,2026-06-15,3,139.46,418.38,completed,South
O000367,C00120,P0037,2026-06-30,2,337.76,675.52,pending,South
O000368,C00170,P0009,2026-01-06,4,399.86,1599.44,cancelled,West
O000369,C00025,P0048,2026-01-23,3,351.02,1053.06,shipped,East
O000370,C00229,P0024,2026-04-17,1,190.42,190.42,completed,East
O000371,C00182,P0028,2026-06-29,2,8.66,17.32,completed,Central
O000372,C00046,P0037,2026-02-21,6,337.76,2026.56,cancelled,East
O000373,C00052,P0036,2026-02-01,3,369.18,1107.54,cancelled,West
O000374,C00197,P0046,2026-06-18,2,289.59,579.18,completed,East
O000375,C00087,P0014,2026-03-28,6,356.93,2141.58,pending,Central
O000376,C00277,P0049,2026-03-04,6,170.02,1020.12,completed,Central
O000377,C00051,P0031,2026-04-07,6,107.74,646.44,returned,Central
O000378,C00105,P0013,2026-05-29,2,187.12,374.24,pending,Central
O000379,C00056,P0022,2026-01-10,1,195.43,195.43,completed,Central
O000380,C00151,P0037,2026-06-06,2,337.76,675.52,completed,West
O000381,C00082,P0020,2026-02-01,3,385.28,1155.84,completed,Central
O000382,C00118,P0008,2026-03-23,4,142.32,569.28,cancelled,East
O000383,C00079,P0031,2026-01-27,1,107.74,107.74,returned,East
O000384,C00125,P0036,2026-03-27,4,369.18,1476.72,cancelled,South
O000385,C00289,P0049,2026-05-28,5,170.02,850.1,returned,Central
O000386,C00063,P0026,2026-06-06,6,320.92,1925.52,completed,North
O000387,C00028,P0013,2026-06-03,3,187.12,561.36,completed,North
O000388,C00061,P0010,2026-06-17,1,139.46,139.46,returned,West
O000389,C00058,P0006,2026-04-16,5,182.61,913.05,shipped,North
O000390,C00072,P0045,2026-05-22,6,7.03,42.18,completed,East
O000391,C00018,P0017,2026-01-28,6,227.78,1366.68,completed,North
O000392,C00237,P0027,2026-02-16,1,176.06,176.06,returned,West
O000393,C00057,P0028,2026-01-19,2,8.66,17.32,cancelled,Central
O000394,C00060,P0007,2026-04-11,5,129.12,645.6,completed,East
O000395,C00180,P0019,2026-03-31,5,93.69,468.45,cancelled,East
O000396,C00131,P0045,2026-06-12,1,7.03,7.03,pending,East
O000397,C00251,P0022,2026-01-14,5,195.43,977.15,returned,Central
O000398,C00141,P0013,2026-01-08,5,187.12,935.6,pending,Central
